gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
,,,,pt-br,,,Thần sấm,vn
,,,,th,,,Zeus,es
slot,205,DiscoNight,web,ko,TRUE,FALSE,蹦迪,zh-cn
,,,,zh-cn,,,DiscoNight,en
,,,,en,,,เกมส์ดิสโก้ไนท์,th
,,,,th,,,Noche de discoteca,es
,,,,es,,,ディスコナイト,ja
,,,,ja,,,디스코 나이트,ko
slot,81,TreasureIsland,web,vn,TRUE,FALSE,Ilha do Tesouro,pt-br
,,,,id,,,金银岛,zh-cn
,,,,pt-br,,,Treasure Island,en
,,,,zh-cn,,,보물섬,ko
,,,,en,,,เทรเชอร์ ไอส์แลนด์,th
,,,,ko,,,Đảo Kho Báu,vn
,,,,th,,,Pulau Harta,id
slot,AS08,Golden Mayan,"web,mobile",en,TRUE,FALSE,Golden Mayan,en
,,,,zh-cn,,,黄金玛雅,zh-cn
slot,AS09,Hollywood Pets,"web,mobile",en,TRUE,FALSE,Hollywood Pets,en
,,,,zh-cn,,,好莱坞宠物,zh-cn
slot,AS10,Lucky 3,"web,mobile",en,TRUE,FALSE,Lucky 3,en
,,,,zh-cn,,,幸运3,zh-cn
slot,AS17,Treasure of Seti,"web,mobile",en,TRUE,FALSE,Treasure of Seti,en
,,,,zh-cn,,,塞特的宝藏,zh-cn
slot,AS18,Wild Fudge,"web,mobile",en,TRUE,FALSE,疯狂软糖,zh-cn
,,,,zh-cn,,,Wild Fudge,en
slot,AS19,Xmas Tales,"web,mobile",en,TRUE,FALSE,Xmas Tales,en
,,,,zh-cn,,,圣诞故事,zh-cn
slot,AS20,Queen Of Dead,"web,mobile",zh-cn,TRUE,FALSE,死亡女王,zh-cn
,,,,en,,,Queen Of Dead,en
slot,99,Jump Higher,web,en,TRUE,FALSE,Jump Higher,en
,,,,th,,,เกมส์กระโดดสูง,th
,,,,es,,,Jump Higher,vn
,,,,zh-cn,,,Salta más alto,es
,,,,id,,,跳更高,zh-cn
,,,,vn,,,점프 하이어,ko
,,,,ko,,,Melompat lebih tinggi,id
,,,,ja,,,もっとジャンプハイ,ja
,,,,pt-br,,,Pule mais alto,pt-br
slot,103,JewelLuxury,web,zh-cn,TRUE,FALSE,宝石配对,zh-cn
,,,,en,,,JewelLuxury,en
slot,102,FruityCarnival,web,zh-cn,TRUE,FALSE,水果派对,zh-cn
,,,,en,,,FruityCarnival,en
slot,118,SkrSkr,web,ko,TRUE,FALSE,SkrSkr,ko
,,,,pt-br,,,SkrSkr,pt-br
,,,,zh-cn,,,老司机,zh-cn
,,,,en,,,SkrSkr,en
slot,130,Gold Stealer,web,zh-cn,TRUE,FALSE,偷金妹子,zh-cn
,,,,en,,,Gold Stealer,en
,,,,ko,,,황금 도둑,ko
,,,,pt-br,,,Ladrão de Ouro,pt-br
